(Part 1) Start-of-package marker occurs after 1155 chars 
   1 [h], r (2) 
 201 [t r m], m (1) 
 202 [m], z (2) 
 203 [m z], w (3) 
 204 [m z w], z (2) 
 205 [w z], d (3) 
 206 [w z d], w (3) 
 207 [z d w], z (3) 
 208 [d w z], w (2) 
 209 [z w], g (3) 
 210 [z w g], w (2) 
 211 [g w], w (1) 
 212 [w], w (1) 
 213 [w], j (2) 
 214 [w j], h (3) 
 215 [w j h], j (2) 
 216 [h j], s (3) 
 217 [h j s], j (2) 
 218 [s j], g (3) 
 219 [s j g], j (2) 
 220 [g j], t (3) 
 221 [g j t], j (2) 
 222 [t j], j (1) 
 223 [j], h (2) 
 224 [j h], p (3) 
 225 [j h p], j (3) 
 226 [h p j], h (3) 
 227 [p j h], h (1) 
 228 [h], p (2) 
 229 [h p], p (1) 
 230 [p], q (2) 
 231 [p q], z (3) 
 232 [p q z], q (2) 
 233 [z q], d (3) 
 234 [z q d], q (2) 
 235 [d q], f (3) 
 236 [d q f], f (1) 
 237 [f], r (2) 
 238 [f r], v (3) 
 239 [f r v], r (2) 
 240 [v r], t (3) 
 241 [v r t], v (3) 
 242 [r t v], v (1) 
 243 [v], s (2) 
 244 [v s], m (3) 
 245 [v s m], m (1) 
 246 [m], g (2) 
 247 [m g], w (3) 
 248 [m g w], m (3) 
 249 [g w m], g (3) 
 250 [w m g], w (3) 
 251 [m g w], g (2) 
 252 [w g], b (3) 
 253 [w g b], b (1) 
 254 [b], c (2) 
 255 [b c], l (3) 
 256 [b c l], l (1) 
 257 [l], t (2) 
 258 [l t], c (3) 
 259 [l t c], t (2) 
 260 [c t], p (3) 
 261 [c t p], t (2) 
 262 [p t], z (3) 
 263 [p t z], p (3) 
 264 [t z p], z (2) 
 265 [p z], h (3) 
 266 [p z h], p (3) 
 267 [z h p], z (3) 
 268 [h p z], p (2) 
 269 [z p], t (3) 
 270 [z p t], z (3) 
 271 [p t z], p (3) 
 272 [t z p], p (1) 
 273 [p], c (2) 
 274 [p c], f (3) 
 275 [p c f], p (3) 
 276 [c f p], c (3) 
 277 [f p c], f (3) 
 278 [p c f], f (1) 
 279 [f], t (2) 
 280 [f t], f (2) 
 281 [t f], l (3) 
 282 [t f l], f (2) 
 283 [l f], z (3) 
 284 [l f z], f (2) 
 285 [z f], t (3) 
 286 [z f t], z (3) 
 287 [f t z], t (2) 
 288 [z t], d (3) 
 289 [z t d], d (1) 
 290 [d], z (2) 
 291 [d z], g (3) 
 292 [d z g], z (2) 
 293 [g z], m (3) 
 294 [g z m], m (1) 
 295 [m], f (2) 
 296 [m f], s (3) 
 297 [m f s], m (3) 
 298 [f s m], s (2) 
 299 [m s], r (3) 
 300 [m s r], m (3) 
 301 [s r m], m (1) 
 302 [m], s (2) 
 303 [m s], s (1) 
 304 [s], t (2) 
 305 [s t], t (1) 
 306 [t], t (1) 
 307 [t], v (2) 
 308 [t v], b (3) 
 309 [t v b], v (2) 
 310 [b v], m (3) 
 311 [b v m], b (3) 
 312 [v m b], v (3) 
 313 [m b v], v (1) 
 314 [v], s (2) 
 315 [v s], m (3) 
 316 [v s m], s (2) 
 317 [m s], q (3) 
 318 [m s q], m (3) 
 319 [s q m], q (2) 
 320 [m q], l (3) 
 321 [m q l], l (1) 
 322 [l], d (2) 
 323 [l d], j (3) 
 324 [l d j], d (2) 
 325 [j d], t (3) 
 326 [j d t], t (1) 
 327 [t], h (2) 
 328 [t h], w (3) 
 329 [t h w], t (3) 
 330 [h w t], w (2) 
 331 [t w], b (3) 
 332 [t w b], w (2) 
 333 [b w], g (3) 
 334 [b w g], g (1) 
 335 [g], r (2) 
 336 [g r], z (3) 
 337 [g r z], z (1) 
 338 [z], j (2) 
 339 [z j], r (3) 
 340 [z j r], z (3) 
 341 [j r z], r (2) 
 342 [z r], c (3) 
 343 [z r c], c (1) 
 344 [c], t (2) 
 345 [c t], f (3) 
 346 [c t f], f (1) 
 347 [f], s (2) 
 348 [f s], s (1) 
 349 [s], h (2) 
 350 [s h], q (3) 
 351 [s h q], s (3) 
 352 [h q s], h (3) 
 353 [q s h], h (1) 
 354 [h], p (2) 
 355 [h p], t (3) 
 356 [h p t], h (3) 
 357 [p t h], h (1) 
 358 [h], l (2) 
 359 [h l], n (3) 
 360 [h l n], h (3) 
 361 [l n h], l (3) 
 362 [n h l], h (2) 
 363 [l h], q (3) 
 364 [l h q], h (2) 
 365 [q h], d (3) 
 366 [q h d], q (3) 
 367 [h d q], q (1) 
 368 [q], r (2) 
 369 [q r], w (3) 
 370 [q r w], r (2) 
 371 [w r], m (3) 
 372 [w r m], m (1) 
 373 [m], c (2) 
 374 [m c], t (3) 
 375 [m c t], t (1) 
 376 [t], p (2) 
 377 [t p], f (3) 
 378 [t p f], t (3) 
 379 [p f t], t (1) 
 380 [t], z (2) 
 381 [t z], f (3) 
 382 [t z f], z (2) 
 383 [f z], g (3) 
 384 [f z g], z (2) 
 385 [g z], d (3) 
 386 [g z d], g (3) 
 387 [z d g], d (2) 
 388 [g d], z (3) 
 389 [g d z], z (1) 
 390 [z], w (2) 
 391 [z w], r (3) 
 392 [z w r], r (1) 
 393 [r], t (2) 
 394 [r t], s (3) 
 395 [r t s], r (3) 
 396 [t s r], r (1) 
 397 [r], s (2) 
 398 [r s], n (3) 
 399 [r s n], r (3) 
 400 [s n r], n (2) 
 401 [r n], c (3) 
 402 [r n c], c (1) 
 403 [c], r (2) 
 404 [c r], b (3) 
 405 [c r b], b (1) 
 406 [b], s (2) 
 407 [b s], s (1) 
 408 [s], s (1) 
 409 [s], b (2) 
 410 [s b], p (3) 
 411 [s b p], b (2) 
 412 [p b], j (3) 
 413 [p b j], j (1) 
 414 [j], v (2) 
 415 [j v], z (3) 
 416 [j v z], z (1) 
 417 [z], w (2) 
 418 [z w], l (3) 
 419 [z w l], w (2) 
 420 [l w], t (3) 
 421 [l w t], w (2) 
 422 [t w], j (3) 
 423 [t w j], w (2) 
 424 [j w], s (3) 
 425 [j w s], j (3) 
 426 [w s j], w (3) 
 427 [s j w], j (2) 
 428 [w j], g (3) 
 429 [w j g], g (1) 
 430 [g], z (2) 
 431 [g z], q (3) 
 432 [g z q], g (3) 
 433 [z q g], z (3) 
 434 [q g z], z (1) 
 435 [z], r (2) 
 436 [z r], s (3) 
 437 [z r s], s (1) 
 438 [s], z (2) 
 439 [s z], z (1) 
 440 [z], j (2) 
 441 [z j], n (3) 
 442 [z j n], z (3) 
 443 [j n z], j (3) 
 444 [n z j], z (2) 
 445 [j z], w (3) 
 446 [j z w], j (3) 
 447 [z w j], z (3) 
 448 [w j z], z (1) 
 449 [z], c (2) 
 450 [z c], r (3) 
 451 [z c r], z (3) 
 452 [c r z], c (3) 
 453 [r z c], z (2) 
 454 [c z], n (3) 
 455 [c z n], c (3) 
 456 [z n c], n (2) 
 457 [c n], q (3) 
 458 [c n q], q (1) 
 459 [q], z (2) 
 460 [q z], t (3) 
 461 [q z t], z (2) 
 462 [t z], f (3) 
 463 [t z f], z (2) 
 464 [f z], h (3) 
 465 [f z h], f (3) 
 466 [z h f], h (2) 
 467 [f h], v (3) 
 468 [f h v], v (1) 
 469 [v], t (2) 
 470 [v t], j (3) 
 471 [v t j], v (3) 
 472 [t j v], j (2) 
 473 [v j], d (3) 
 474 [v j d], v (3) 
 475 [j d v], j (3) 
 476 [d v j], j (1) 
 477 [j], m (2) 
 478 [j m], r (3) 
 479 [j m r], j (3) 
 480 [m r j], r (2) 
 481 [j r], p (3) 
 482 [j r p], p (1) 
 483 [p], v (2) 
 484 [p v], z (3) 
 485 [p v z], p (3) 
 486 [v z p], p (1) 
 487 [p], c (2) 
 488 [p c], z (3) 
 489 [p c z], p (3) 
 490 [c z p], c (3) 
 491 [z p c], z (3) 
 492 [p c z], c (2) 
 493 [z c], g (3) 
 494 [z c g], g (1) 
 495 [g], s (2) 
 496 [g s], h (3) 
 497 [g s h], g (3) 
 498 [s h g], h (2) 
 499 [g h], v (3) 
 500 [g h v], h (2) 
 501 [v h], n (3) 
 502 [v h n], h (2) 
 503 [n h], h (1) 
 504 [h], s (2) 
 505 [h s], r (3) 
 506 [h s r], s (2) 
 507 [r s], n (3) 
 508 [r s n], s (2) 
 509 [n s], d (3) 
 510 [n s d], s (2) 
 511 [d s], z (3) 
 512 [d s z], z (1) 
 513 [z], d (2) 
 514 [z d], p (3) 
 515 [z d p], z (3) 
 516 [d p z], p (2) 
 517 [z p], z (2) 
 518 [p z], l (3) 
 519 [p z l], p (3) 
 520 [z l p], z (3) 
 521 [l p z], z (1) 
 522 [z], h (2) 
 523 [z h], w (3) 
 524 [z h w], w (1) 
 525 [w], m (2) 
 526 [w m], n (3) 
 527 [w m n], w (3) 
 528 [m n w], m (3) 
 529 [n w m], w (2) 
 530 [m w], m (2) 
 531 [w m], c (3) 
 532 [w m c], w (3) 
 533 [m c w], w (1) 
 534 [w], f (2) 
 535 [w f], n (3) 
 536 [w f n], w (3) 
 537 [f n w], f (3) 
 538 [n w f], w (2) 
 539 [f w], j (3) 
 540 [f w j], j (1) 
 541 [j], c (2) 
 542 [j c], b (3) 
 543 [j c b], c (2) 
 544 [b c], n (3) 
 545 [b c n], c (2) 
 546 [n c], l (3) 
 547 [n c l], l (1) 
 548 [l], c (2) 
 549 [l c], s (3) 
 550 [l c s], l (3) 
 551 [c s l], l (1) 
 552 [l], q (2) 
 553 [l q], d (3) 
 554 [l q d], q (2) 
 555 [d q], z (3) 
 556 [d q z], z (1) 
 557 [z], h (2) 
 558 [z h], q (3) 
 559 [z h q], h (2) 
 560 [q h], m (3) 
 561 [q h m], q (3) 
 562 [h m q], m (2) 
 563 [q m], b (3) 
 564 [q m b], b (1) 
 565 [b], j (2) 
 566 [b j], v (3) 
 567 [b j v], j (2) 
 568 [v j], j (1) 
 569 [j], w (2) 
 570 [j w], w (1) 
 571 [w], c (2) 
 572 [w c], j (3) 
 573 [w c j], j (1) 
 574 [j], p (2) 
 575 [j p], n (3) 
 576 [j p n], p (2) 
 577 [n p], l (3) 
 578 [n p l], l (1) 
 579 [l], z (2) 
 580 [l z], f (3) 
 581 [l z f], z (2) 
 582 [f z], d (3) 
 583 [f z d], d (1) 
 584 [d], t (2) 
 585 [d t], m (3) 
 586 [d t m], t (2) 
 587 [m t], c (3) 
 588 [m t c], c (1) 
 589 [c], q (2) 
 590 [c q], r (3) 
 591 [c q r], c (3) 
 592 [q r c], r (2) 
 593 [c r], t (3) 
 594 [c r t], r (2) 
 595 [t r], w (3) 
 596 [t r w], r (2) 
 597 [w r], p (3) 
 598 [w r p], p (1) 
 599 [p], h (2) 
 600 [p h], p (2) 
 601 [h p], m (3) 
 602 [h p m], p (2) 
 603 [m p], p (1) 
 604 [p], l (2) 
 605 [p l], s (3) 
 606 [p l s], l (2) 
 607 [s l], m (3) 
 608 [s l m], l (2) 
 609 [m l], t (3) 
 610 [m l t], t (1) 
 611 [t], h (2) 
 612 [t h], n (3) 
 613 [t h n], n (1) 
 614 [n], v (2) 
 615 [n v], h (3) 
 616 [n v h], h (1) 
 617 [h], v (2) 
 618 [h v], r (3) 
 619 [h v r], v (2) 
 620 [r v], b (3) 
 621 [r v b], b (1) 
 622 [b], l (2) 
 623 [b l], h (3) 
 624 [b l h], h (1) 
 625 [h], r (2) 
 626 [h r], r (1) 
 627 [r], d (2) 
 628 [r d], q (3) 
 629 [r d q], q (1) 
 630 [q], m (2) 
 631 [q m], b (3) 
 632 [q m b], q (3) 
 633 [m b q], q (1) 
 634 [q], g (2) 
 635 [q g], t (3) 
 636 [q g t], q (3) 
 637 [g t q], g (3) 
 638 [t q g], g (1) 
 639 [g], d (2) 
 640 [g d], g (2) 
 641 [d g], c (3) 
 642 [d g c], d (3) 
 643 [g c d], c (2) 
 644 [d c], v (3) 
 645 [d c v], v (1) 
 646 [v], s (2) 
 647 [v s], b (3) 
 648 [v s b], s (2) 
 649 [b s], s (1) 
 650 [s], w (2) 
 651 [s w], v (3) 
 652 [s w v], v (1) 
 653 [v], p (2) 
 654 [v p], g (3) 
 655 [v p g], g (1) 
 656 [g], b (2) 
 657 [g b], b (1) 
 658 [b], t (2) 
 659 [b t], f (3) 
 660 [b t f], t (2) 
 661 [f t], l (3) 
 662 [f t l], f (3) 
 663 [t l f], l (2) 
 664 [f l], g (3) 
 665 [f l g], l (2) 
 666 [g l], z (3) 
 667 [g l z], l (2) 
 668 [z l], m (3) 
 669 [z l m], l (2) 
 670 [m l], b (3) 
 671 [m l b], b (1) 
 672 [b], f (2) 
 673 [b f], h (3) 
 674 [b f h], h (1) 
 675 [h], r (2) 
 676 [h r], s (3) 
 677 [h r s], h (3) 
 678 [r s h], s (2) 
 679 [h s], w (3) 
 680 [h s w], h (3) 
 681 [s w h], s (3) 
 682 [w h s], h (2) 
 683 [s h], f (3) 
 684 [s h f], f (1) 
 685 [f], h (2) 
 686 [f h], h (1) 
 687 [h], d (2) 
 688 [h d], n (3) 
 689 [h d n], n (1) 
 690 [n], r (2) 
 691 [n r], f (3) 
 692 [n r f], r (2) 
 693 [f r], v (3) 
 694 [f r v], r (2) 
 695 [v r], m (3) 
 696 [v r m], r (2) 
 697 [m r], n (3) 
 698 [m r n], r (2) 
 699 [n r], p (3) 
 700 [n r p], r (2) 
 701 [p r], r (1) 
 702 [r], m (2) 
 703 [r m], f (3) 
 704 [r m f], m (2) 
 705 [f m], p (3) 
 706 [f m p], m (2) 
 707 [p m], n (3) 
 708 [p m n], p (3) 
 709 [m n p], n (2) 
 710 [p n], f (3) 
 711 [p n f], n (2) 
 712 [f n], g (3) 
 713 [f n g], g (1) 
 714 [g], v (2) 
 715 [g v], v (1) 
 716 [v], c (2) 
 717 [v c], n (3) 
 718 [v c n], c (2) 
 719 [n c], d (3) 
 720 [n c d], c (2) 
 721 [d c], r (3) 
 722 [d c r], c (2) 
 723 [r c], z (3) 
 724 [r c z], r (3) 
 725 [c z r], z (2) 
 726 [r z], c (3) 
 727 [r z c], c (1) 
 728 [c], p (2) 
 729 [c p], m (3) 
 730 [c p m], m (1) 
 731 [m], s (2) 
 732 [m s], s (1) 
 733 [s], r (2) 
 734 [s r], b (3) 
 735 [s r b], b (1) 
 736 [b], d (2) 
 737 [b d], j (3) 
 738 [b d j], d (2) 
 739 [j d], t (3) 
 740 [j d t], d (2) 
 741 [t d], r (3) 
 742 [t d r], d (2) 
 743 [r d], w (3) 
 744 [r d w], r (3) 
 745 [d w r], r (1) 
 746 [r], w (2) 
 747 [r w], h (3) 
 748 [r w h], r (3) 
 749 [w h r], r (1) 
 750 [r], v (2) 
 751 [r v], r (2) 
 752 [v r], t (3) 
 753 [v r t], v (3) 
 754 [r t v], v (1) 
 755 [v], s (2) 
 756 [v s], z (3) 
 757 [v s z], v (3) 
 758 [s z v], v (1) 
 759 [v], w (2) 
 760 [v w], v (2) 
 761 [w v], z (3) 
 762 [w v z], z (1) 
 763 [z], m (2) 
 764 [z m], h (3) 
 765 [z m h], h (1) 
 766 [h], j (2) 
 767 [h j], h (2) 
 768 [j h], h (1) 
 769 [h], w (2) 
 770 [h w], l (3) 
 771 [h w l], h (3) 
 772 [w l h], l (2) 
 773 [h l], q (3) 
 774 [h l q], l (2) 
 775 [q l], v (3) 
 776 [q l v], l (2) 
 777 [v l], t (3) 
 778 [v l t], t (1) 
 779 [t], z (2) 
 780 [t z], f (3) 
 781 [t z f], t (3) 
 782 [z f t], z (3) 
 783 [f t z], t (2) 
 784 [z t], d (3) 
 785 [z t d], t (2) 
 786 [d t], s (3) 
 787 [d t s], t (2) 
 788 [s t], f (3) 
 789 [s t f], t (2) 
 790 [f t], r (3) 
 791 [f t r], f (3) 
 792 [t r f], r (2) 
 793 [f r], d (3) 
 794 [f r d], d (1) 
 795 [d], d (1) 
 796 [d], m (2) 
 797 [d m], t (3) 
 798 [d m t], m (2) 
 799 [t m], z (3) 
 800 [t m z], z (1) 
 801 [z], s (2) 
 802 [z s], q (3) 
 803 [z s q], z (3) 
 804 [s q z], q (2) 
 805 [z q], v (3) 
 806 [z q v], v (1) 
 807 [v], p (2) 
 808 [v p], d (3) 
 809 [v p d], p (2) 
 810 [d p], d (2) 
 811 [p d], c (3) 
 812 [p d c], p (3) 
 813 [d c p], c (2) 
 814 [p c], n (3) 
 815 [p c n], c (2) 
 816 [n c], n (2) 
 817 [c n], r (3) 
 818 [c n r], r (1) 
 819 [r], t (2) 
 820 [r t], n (3) 
 821 [r t n], t (2) 
 822 [n t], z (3) 
 823 [n t z], n (3) 
 824 [t z n], z (2) 
 825 [n z], r (3) 
 826 [n z r], z (2) 
 827 [r z], g (3) 
 828 [r z g], z (2) 
 829 [g z], n (3) 
 830 [g z n], z (2) 
 831 [n z], t (3) 
 832 [n z t], n (3) 
 833 [z t n], z (3) 
 834 [t n z], n (2) 
 835 [z n], h (3) 
 836 [z n h], h (1) 
 837 [h], s (2) 
 838 [h s], q (3) 
 839 [h s q], q (1) 
 840 [q], n (2) 
 841 [q n], r (3) 
 842 [q n r], q (3) 
 843 [n r q], r (2) 
 844 [q r], h (3) 
 845 [q r h], h (1) 
 846 [h], l (2) 
 847 [h l], z (3) 
 848 [h l z], h (3) 
 849 [l z h], z (2) 
 850 [h z], t (3) 
 851 [h z t], h (3) 
 852 [z t h], h (1) 
 853 [h], f (2) 
 854 [h f], d (3) 
 855 [h f d], d (1) 
 856 [d], r (2) 
 857 [d r], z (3) 
 858 [d r z], d (3) 
 859 [r z d], r (3) 
 860 [z d r], r (1) 
 861 [r], q (2) 
 862 [r q], m (3) 
 863 [r q m], q (2) 
 864 [m q], g (3) 
 865 [m q g], g (1) 
 866 [g], c (2) 
 867 [g c], m (3) 
 868 [g c m], m (1) 
 869 [m], l (2) 
 870 [m l], l (1) 
 871 [l], n (2) 
 872 [l n], j (3) 
 873 [l n j], j (1) 
 874 [j], v (2) 
 875 [j v], w (3) 
 876 [j v w], w (1) 
 877 [w], j (2) 
 878 [w j], c (3) 
 879 [w j c], c (1) 
 880 [c], f (2) 
 881 [c f], j (3) 
 882 [c f j], f (2) 
 883 [j f], q (3) 
 884 [j f q], f (2) 
 885 [q f], c (3) 
 886 [q f c], f (2) 
 887 [c f], z (3) 
 888 [c f z], c (3) 
 889 [f z c], c (1) 
 890 [c], w (2) 
 891 [c w], v (3) 
 892 [c w v], c (3) 
 893 [w v c], w (3) 
 894 [v c w], v (3) 
 895 [c w v], c (3) 
 896 [w v c], v (2) 
 897 [c v], j (3) 
 898 [c v j], c (3) 
 899 [v j c], j (2) 
 900 [c j], t (3) 
 901 [c j t], j (2) 
 902 [t j], t (2) 
 903 [j t], n (3) 
 904 [j t n], n (1) 
 905 [n], q (2) 
 906 [n q], s (3) 
 907 [n q s], q (2) 
 908 [s q], m (3) 
 909 [s q m], q (2) 
 910 [m q], r (3) 
 911 [m q r], m (3) 
 912 [q r m], r (2) 
 913 [m r], z (3) 
 914 [m r z], r (2) 
 915 [z r], s (3) 
 916 [z r s], z (3) 
 917 [r s z], r (3) 
 918 [s z r], s (3) 
 919 [z r s], z (3) 
 920 [r s z], z (1) 
 921 [z], f (2) 
 922 [z f], w (3) 
 923 [z f w], f (2) 
 924 [w f], g (3) 
 925 [w f g], g (1) 
 926 [g], n (2) 
 927 [g n], m (3) 
 928 [g n m], m (1) 
 929 [m], c (2) 
 930 [m c], d (3) 
 931 [m c d], m (3) 
 932 [c d m], d (2) 
 933 [m d], j (3) 
 934 [m d j], m (3) 
 935 [d j m], m (1) 
 936 [m], h (2) 
 937 [m h], w (3) 
 938 [m h w], w (1) 
 939 [w], g (2) 
 940 [w g], f (3) 
 941 [w g f], w (3) 
 942 [g f w], f (2) 
 943 [w f], n (3) 
 944 [w f n], w (3) 
 945 [f n w], n (2) 
 946 [w n], l (3) 
 947 [w n l], w (3) 
 948 [n l w], w (1) 
 949 [w], c (2) 
 950 [w c], f (3) 
 951 [w c f], f (1) 
 952 [f], s (2) 
 953 [f s], r (3) 
 954 [f s r], f (3) 
 955 [s r f], f (1) 
 956 [f], v (2) 
 957 [f v], n (3) 
 958 [f v n], v (2) 
 959 [n v], b (3) 
 960 [n v b], v (2) 
 961 [b v], n (3) 
 962 [b v n], v (2) 
 963 [n v], w (3) 
 964 [n v w], n (3) 
 965 [v w n], w (2) 
 966 [n w], g (3) 
 967 [n w g], n (3) 
 968 [w g n], w (3) 
 969 [g n w], n (2) 
 970 [w n], m (3) 
 971 [w n m], m (1) 
 972 [m], b (2) 
 973 [m b], z (3) 
 974 [m b z], b (2) 
 975 [z b], m (3) 
 976 [z b m], b (2) 
 977 [m b], p (3) 
 978 [m b p], p (1) 
 979 [p], l (2) 
 980 [p l], m (3) 
 981 [p l m], p (3) 
 982 [l m p], l (3) 
 983 [m p l], p (2) 
 984 [l p], s (3) 
 985 [l p s], p (2) 
 986 [s p], z (3) 
 987 [s p z], p (2) 
 988 [z p], m (3) 
 989 [z p m], z (3) 
 990 [p m z], p (3) 
 991 [m z p], z (2) 
 992 [p z], d (3) 
 993 [p z d], z (2) 
 994 [d z], g (3) 
 995 [d z g], z (2) 
 996 [g z], r (3) 
 997 [g z r], z (2) 
 998 [r z], r (2) 
 999 [z r], t (3) 
1000 [z r t], r (2) 
1001 [t r], j (3) 
1002 [t r j], r (2) 
1003 [j r], b (3) 
1004 [j r b], b (1) 
1005 [b], p (2) 
1006 [b p], p (1) 
1007 [p], w (2) 
1008 [p w], v (3) 
1009 [p w v], w (2) 
1010 [v w], g (3) 
1011 [v w g], w (2) 
1012 [g w], m (3) 
1013 [g w m], g (3) 
1014 [w m g], g (1) 
1015 [g], q (2) 
1016 [g q], w (3) 
1017 [g q w], g (3) 
1018 [q w g], g (1) 
1019 [g], h (2) 
1020 [g h], q (3) 
1021 [g h q], q (1) 
1022 [q], s (2) 
1023 [q s], h (3) 
1024 [q s h], h (1) 
1025 [h], c (2) 
1026 [h c], w (3) 
1027 [h c w], c (2) 
1028 [w c], q (3) 
1029 [w c q], w (3) 
1030 [c q w], c (3) 
1031 [q w c], q (3) 
1032 [w c q], c (2) 
1033 [q c], f (3) 
1034 [q c f], c (2) 
1035 [f c], b (3) 
1036 [f c b], b (1) 
1037 [b], n (2) 
1038 [b n], s (3) 
1039 [b n s], n (2) 
1040 [s n], r (3) 
1041 [s n r], r (1) 
1042 [r], t (2) 
1043 [r t], z (3) 
1044 [r t z], t (2) 
1045 [z t], z (2) 
1046 [t z], r (3) 
1047 [t z r], t (3) 
1048 [z r t], r (2) 
1049 [t r], v (3) 
